Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
41.6143, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
41.9757, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
42.3331, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
42.6703, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
43.0479, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
43.4052, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
43.7666, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
44.1039, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
44.4532, 0.650985, 0.639727, 29.0153, 29.0153, 0.639727, 0
44.8349, 0.650342, 0.639492, 29.4768, 29.4768, 0.639492, 0
45.2003, 0.650127, 0.639167, 30.0886, 30.0886, 0.639167, 0
45.5536, 0.649977, 0.639076, 30.7466, 30.7466, 0.639049, 0
45.9027, 0.649925, 0.63901, 31.4624, 31.4624, 0.63901, 0
46.2441, 0.649633, 0.638854, 32.0623, 32.0623, 0.638685, 0
46.5811, 0.649417, 0.638542, 32.6031, 32.6031, 0.638542, 0
46.9587, 0.649369, 0.638464, 33.3852, 33.3852, 0.638464, 0
47.3041, 0.649279, 0.638385, 33.9849, 33.9849, 0.638385, 0
47.6613, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
48.0066, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
48.3883, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
48.7822, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
49.1192, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
49.4563, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
49.8419, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
50.2439, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
50.6175, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
50.9545, 0.649279, 0.638385, 34.102, 34.102, 0.638385, 0
